code,value
se_co01,사용자의 이용목적을 모르는 경우
se_co02,비슷한 여가생활을 질문하는 경우
se_co03,여가생활을 즐기는데 비용을 질문하는 경우
Q1_1,전시회 관람
Q1_2,박물관 관람
Q1_3,음악연주회 관람
Q1_4,전통예술공연 관람
Q1_5,연극공연 관람
Q1_6,무용공연 관람
Q1_7,영화관람
Q1_8,연예공연 관람
Q1_9,문학행사참여
Q1_10,글짓기/독서토론
Q1_11,미술활동
Q1_12,악기연주/ 노래교실
Q1_13,전통예술 배우기
Q1_14,사진촬영
Q1_15,춤/무용
Q1_16,경기장방문관람
Q1_17,"스포츠 경기 TV, DMB를 통한관람"
Q1_18,격투 스포츠 경기관람
Q1_19,온라인게임 경기관람
Q1_20,농구/ 배구/ 야구/ 축구/ 족구
Q1_21,테니스/ 스쿼시
Q1_22,당구/ 포켓볼
Q1_23,볼링/ 탁구
Q1_24,골프
Q1_25,수영
Q1_26,윈드서핑/ 수상스키/ 스킨스쿠버다이빙/ 래프팅/ 요트
Q1_27,스노보드/ 스키
Q1_28,아이스스케이트/ 아이스하키
Q1_29,헬스/ 보디빌딩/ 에어로빅
Q1_30,요가/ 필라테스/ 태보
Q1_31,배드민턴/ 줄넘기/ 맨손 체조/ 스트레칭 체조/ 훌라후프
Q1_32,육상/ 조깅/ 속보
Q1_33,태권도/ 유도/ 합기도/ 검도/ 권투
Q1_34,탱고/ 왈츠/ 자이브/ 맘보/ 폴카/ 차차차
Q1_35,사이클링/ 산악자전거
Q1_36,인라인스케이트
Q1_37,승마/ 암벽등반/ 철인삼종경기/ 서바이벌
Q1_38,문화유적방문
Q1_39,자연명승 관람/ 풍경 관람
Q1_40,삼림욕
Q1_41,국내캠핑
Q1_42,해외여행
Q1_43,소풍/ 야유회
Q1_44,온천/ 해수욕
Q1_45,유람선
Q1_46,테마파크가기/ 놀이공원/ 동물원/ 식물원
Q1_47,지역축제
Q1_48,드라이브
Q1_49,수집활동
Q1_50,생활공예
Q1_51,요리하기/ 다도
Q1_52,반려동물
Q1_53,노래방
Q1_54,인테리어
Q1_55,등산
Q1_56,낚시
Q1_57,홈페이지/ 블로그
Q1_58,인터넷 검색/ 미디어 제작/ SNS/ 영상편집
Q1_59,온라인 게임/ 모바일 게임/ 콘솔 게임
Q1_60,보드게임/ 퍼즐/ 큐브
Q1_61,바둑/ 장기/ 체스
Q1_62,겜블/ 경마/ 경륜/ 카지노/ 카드놀이/ 고스톱/ 마작/ 복권구입
Q1_63,쇼핑/ 외식
Q1_64,음주
Q1_65,독서/ 웹소설
Q1_66,만화/ 웹툰
Q1_67,미용/ 피부관리/ 헤어관리/ 네일아트/ 마사지/ 성형
Q1_68,어학/ 기술/ 자격증/ 학원
Q1_69,테마카페/ 방탈출/ VR/ 낚시카페
Q1_70,원예/ 화분/ 화단가꾸기
Q1_71,산책/ 걷기
Q1_72,목욕/ 사우나/ 찜질방
Q1_73,낮잠
Q1_74,TV/ IPTV
Q1_75,모바일 컨텐츠/ 동영상/ VOD 시청/ OTT 시청
Q1_76,라디오/ 팟캐스트
Q1_77,음악 감상
Q1_78,신문/ 잡지
Q1_79,아무것도 안 하기
Q1_80,사회봉사활동
Q1_81,종교활동
Q1_82,클럽/ 나이트/ 디스코/ 캬바레
Q1_83,가족방문/ 친지방문
Q1_84,잡담/ 통화하기/ 문자보내기/ 모바일 메신저/ 메시지
Q1_85,계/ 동창회/ 사교/ 파티
Q1_86,친구만남/ 이성교제/ 미팅/ 소개팅
Q1_87,동호회
Q1_88,분류되지 않은 기타 여가활동
Q1_89,독서/ 만화책/ 웹툰
Q1_90,이성교제/ 데이트/ 미팅/ 소개팅
Q1_91,친구만남/ 동호회
Q1_99,무응답
1,서울
2,부산
3,대구
4,인천
5,광주
6,대전
7,울산
8,세종
9,경기
10,강원
11,충북
12,충남
13,전북
14,전남
15,경북
16,경남
17,제주
